구분,그룹,선호 추정 품목 (r 상위),비선호 추정 (r 하위)
룸서비스,20대 남,(VIP) F1(r=0.70); 해산물 토마토스파게티(r=0.67); 일품진로(r=0.42); 모둠 계절과일(r=0.28); 낙지볶음소면(r=0.27),커피(r=-0.73); (컨)후라이드 닭다리살과 오징어튀김(r=-0.65)
룸서비스,20대 여,(VIP) F1(r=0.71); 해산물 토마토스파게티(r=0.61); 일품진로(r=0.41); 전복 된장찌개(r=0.24); 김치찌개(r=0.24),커피(r=-0.71); (컨)후라이드 닭다리살과 오징어튀김(r=-0.64)
룸서비스,30대 남,해산물 토마토스파게티(r=0.71); (VIP) F1(r=0.54); 일품진로(r=0.49); 낙지볶음소면(r=0.42); 모둠 계절과일(r=0.42),커피(r=-0.77); (컨)후라이드 닭다리살과 오징어튀김(r=-0.67)
룸서비스,30대 여,해산물 토마토스파게티(r=0.65); (VIP) F1(r=0.49); 일품진로(r=0.40); 모둠 계절과일(r=0.35); 낙지볶음소면(r=0.32),커피(r=-0.71); (컨)후라이드 닭다리살과 오징어튀김(r=-0.63)
룸서비스,40대 남,커피(r=0.72); (컨)활 전복죽(r=0.65); 기본 1찬(r=0.54); (컨)후라이드 닭다리살과 오징어튀김(r=0.53); 간고등어정식(r=0.51),해산물 토마토스파게티(r=-0.76); (VIP) F1(r=-0.58)
룸서비스,40대 여,커피(r=0.82); (컨)후라이드 닭다리살과 오징어튀김(r=0.68); (컨)활 전복죽(r=0.58); (컨)간고등어구이정식(r=0.56); (컨)공기밥(r=0.53),해산물 토마토스파게티(r=-0.78); 일품진로(r=-0.65)
룸서비스,50대 남,커피(r=0.72); (컨)후라이드 닭다리살과 오징어튀김(r=0.66); (컨)활 전복죽(r=0.58); (컨)공기밥(r=0.54); (컨)한우버섯 불고기정식(r=0.47),해산물 토마토스파게티(r=-0.63); (VIP) F1(r=-0.57)
룸서비스,50대 여,커피(r=0.79); (컨)후라이드 닭다리살과 오징어튀김(r=0.68); (컨)활 전복죽(r=0.60); (컨)공기밥(r=0.54); (컨)간고등어구이정식(r=0.51),해산물 토마토스파게티(r=-0.76); (VIP) F1(r=-0.56)
룸서비스,60대 남,커피(r=0.66); (컨)후라이드 닭다리살과 오징어튀김(r=0.65); (컨)공기밥(r=0.58); (컨)활 전복죽(r=0.52); 계란후라이(r=0.47),해산물 토마토스파게티(r=-0.55); (VIP) F1(r=-0.53)
룸서비스,60대 여,커피(r=0.70); (컨)후라이드 닭다리살과 오징어튀김(r=0.63); (컨)활 전복죽(r=0.60); (컨)공기밥(r=0.50); (컨)한우버섯 불고기정식(r=0.47),해산물 토마토스파게티(r=-0.64); (VIP) F1(r=-0.58)
룸서비스,70대 남,(컨)후라이드 닭다리살과 오징어튀김(r=0.62); (컨)공기밥(r=0.59); (컨)간고등어구이정식(r=0.55); (컨)전복 된장찌개(r=0.55); 커피(r=0.50),일품진로(r=-0.53); (VIP) F1(r=-0.53)
룸서비스,70대 여,(컨)후라이드 닭다리살과 오징어튀김(r=0.66); 커피(r=0.60); (컨)공기밥(r=0.59); (컨)전복 된장찌개(r=0.54); (컨)낙지볶음과 소면(r=0.53),(VIP) F1(r=-0.59); 일품진로(r=-0.46)
특산품,20대 남,황기 오징어낙지젓갈(r=0.70); 잣선물세트 (1Kg)(r=0.65); 영월잣선물세트(500g)(r=0.55); 22)으랏차차(r=0.36); 고춧가루(영월농협)(r=0.20),오징어세트(신토불이)(r=-0.92); 시골꿩만두(r=-0.88)
특산품,20대 여,황기 오징어낙지젓갈(r=0.67); 잣선물세트 (1Kg)(r=0.65); 영월잣선물세트(500g)(r=0.54); 22)으랏차차(r=0.29); 고춧가루(영월농협)(r=0.29),시골꿩만두(r=-0.90); 오징어세트(신토불이)(r=-0.89)
특산품,30대 남,황기 오징어낙지젓갈(r=0.63); 22)으랏차차(r=0.53); 잣선물세트 (1Kg)(r=0.50); 영월잣선물세트(500g)(r=0.43); 명이절임(500g)(r=0.19),오징어세트(신토불이)(r=-0.88); 자연산돌미역(r=-0.83)
특산품,30대 여,황기 오징어낙지젓갈(r=0.61); 잣선물세트 (1Kg)(r=0.57); 영월잣선물세트(500g)(r=0.52); 22)으랏차차(r=0.48); 명이절임(500g)(r=0.12),오징어세트(신토불이)(r=-0.89); 자연산돌미역(r=-0.82)
특산품,40대 남,오징어세트(신토불이)(r=0.94); 젓갈 3종세트(r=0.89); 자연산돌미역(r=0.85); 총각김치(하늘)(r=0.79); 동강 홍삼진액골드(23)(r=0.76),황기 오징어낙지젓갈(r=-0.74); 잣선물세트 (1Kg)(r=-0.70)
특산품,40대 여,오징어세트(신토불이)(r=0.82); 자연산돌미역(r=0.81); 쥐포세트(r=0.80); 시골꿩만두(r=0.73); 전장김세트(r=0.72),황기 오징어낙지젓갈(r=-0.61); 22)으랏차차(r=-0.61)
특산품,50대 남,오징어세트(신토불이)(r=0.90); 시골꿩만두(r=0.84); 자연산돌미역(r=0.79); 쥐포세트(r=0.78); 전장김세트(r=0.75),황기 오징어낙지젓갈(r=-0.63); 잣선물세트 (1Kg)(r=-0.60)
특산품,50대 여,오징어세트(신토불이)(r=0.86); 자연산돌미역(r=0.85); 쥐포세트(r=0.78); 시골꿩만두(r=0.75); 젓갈 3종세트(r=0.71),황기 오징어낙지젓갈(r=-0.64); 22)으랏차차(r=-0.58)
특산품,60대 남,오징어세트(신토불이)(r=0.85); 시골꿩만두(r=0.83); 자연산돌미역(r=0.74); 쥐포세트(r=0.73); 야생화꽃꿀(일진)(r=0.72),황기 오징어낙지젓갈(r=-0.57); 잣선물세트 (1Kg)(r=-0.56)
특산품,60대 여,오징어세트(신토불이)(r=0.93); 시골꿩만두(r=0.84); 자연산돌미역(r=0.80); 젓갈 3종세트(r=0.79); 쥐포세트(r=0.77),잣선물세트 (1Kg)(r=-0.69); 황기 오징어낙지젓갈(r=-0.67)
특산품,70대 남,시골꿩만두(r=0.79); 야생화꽃꿀(일진)(r=0.64); 전장김세트(r=0.63); 쥐포세트(r=0.60); 황태 선물세트(r=0.55),고춧가루(영월농협)(r=-0.51); 황기 오징어낙지젓갈(r=-0.30)
특산품,70대 여,시골꿩만두(r=0.87); 전장김세트(r=0.72); 야생화꽃꿀(일진)(r=0.70); 쥐포세트(r=0.70); 오징어세트(신토불이)(r=0.68),고춧가루(영월농협)(r=-0.47); 잣선물세트 (1Kg)(r=-0.45)
